Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-04-17,2025-04-18,1052,COSTCO WHSE #1226,Merchandise,80.75,
2025-04-17,2025-04-18,1052,COSTCO WHSE #1226,Merchandise,4.98,
2025-04-17,2025-04-18,1052,COSTCO GAS #1226,Gas/Automotive,33.28,
2025-04-16,2025-04-18,1052,BANGKOK THAI RESTAURANT,Dining,49.85,
2025-04-16,2025-04-18,1052,McDonalds 11579,Dining,14.28,
2025-04-14,2025-04-16,1052,McDonalds 31878,Dining,1.79,
2025-04-14,2025-04-16,1052,McDonalds 31878,Dining,1.49,
2025-04-13,2025-04-14,7321,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2006.34
2025-04-12,2025-04-14,1052,SUNRISE KITCHEN,Dining,14.50,
2025-04-10,2025-04-12,1052,McDonalds 11579,Dining,2.00,
2025-04-10,2025-04-12,1052,McDonalds 11579,Dining,2.00,
2025-04-09,2025-04-11,1052,93898 - UNIVERSITY OF AKR,Gas/Automotive,36.35,
2025-04-10,2025-04-11,1052,Amazon.com*J913I2OL3,Merchandise,8.00,
2025-04-09,2025-04-09,1052,AMAZON MKTPL*W62H245U3,Merchandise,36.44,
2025-04-08,2025-04-09,1052,COSTCO WHSE #1226,Merchandise,77.20,
2025-04-08,2025-04-09,1052,COSTCO WHSE #1226,Merchandise,13.47,
2025-04-08,2025-04-09,1052,COSTCO GAS #1226,Gas/Automotive,33.22,
2025-04-07,2025-04-09,1052,McDonalds 31878,Dining,1.49,
2025-04-07,2025-04-09,1052,McDonalds 31878,Dining,1.79,
2025-04-06,2025-04-07,1052,TST*SUPERIOR PHO,Dining,53.06,
2025-04-06,2025-04-07,1052,TST* MANGO MANGO DESSERT,Dining,6.95,
2025-04-05,2025-04-07,1052,THE HOME DEPOT #3809,Merchandise,9.02,
2025-04-05,2025-04-07,1052,RAISING CANES 0793,Dining,11.56,
2025-04-04,2025-04-07,1052,KING DRAGON,Dining,8.95,
2025-04-05,2025-04-07,1052,OLIVE GARDEN ZK 0021076,Dining,13.38,
2025-04-04,2025-04-05,1052,SGT CLEAN CUYAHOGA FALLS,Gas/Automotive,7.70,
2025-04-03,2025-04-05,1052,BUFFALO WILD ECOM 4062,Dining,13.99,
2025-04-02,2025-04-04,1052,SPICY SOMBRERO,Dining,31.73,
2025-03-31,2025-04-02,1052,McDonalds 31878,Dining,1.79,
2025-03-30,2025-03-31,1052,COSTCO WHSE #1226,Merchandise,66.77,
2025-03-30,2025-03-31,1052,COSTCO WHSE #1226,Merchandise,,8.99
2025-03-30,2025-03-31,1052,COSTCO GAS #1226,Gas/Automotive,27.40,
2025-03-30,2025-03-31,1052,ACME NO. 4,Merchandise,6.00,
2025-03-29,2025-03-31,1052,BANGKOK THAI RESTAURANT,Dining,31.90,
2025-03-29,2025-03-31,1052,McDonalds 2542,Dining,3.00,
2025-03-29,2025-03-31,1052,EZPASS REPLENISHMENT CSC,Gas/Automotive,26.73,
2025-03-28,2025-03-31,1052,APPLEBEES 2040042,Dining,17.80,
2025-03-28,2025-03-29,1052,WM SUPERCENTER #2323,Merchandise,4.47,
2025-03-28,2025-03-29,1052,Spectrum,Phone/Cable,49.99,
2025-03-26,2025-03-29,1052,PF CHANGS #9903 CP,Dining,112.43,
2025-03-26,2025-03-28,1052,PMUSA 363011 CUMBERLAN,Gas/Automotive,0.95,
2025-03-26,2025-03-27,1052,COSTCO GAS #0649,Gas/Automotive,35.65,
2025-03-26,2025-03-27,1052,COSTCO WHSE #0649,Merchandise,36.36,
2025-03-25,2025-03-27,1052,BURGER KING #13769 Q07,Dining,16.95,
2025-03-26,2025-03-27,1052,SQ *BASECAMP COFFEE COMPA,Dining,9.27,
2025-03-25,2025-03-27,1052,SHELL OIL 57543977904,Gas/Automotive,29.98,
2025-03-25,2025-03-26,1052,TOUS LES JOURS ANNANDALE,Dining,27.57,
2025-03-25,2025-03-26,1052,TOUS LES JOURS ANNANDALE,Dining,27.30,
2025-03-25,2025-03-26,1052,BURGER KING #13769,Dining,3.17,
2025-03-24,2025-03-26,1052,5GUYS 0014 QSR,Dining,41.42,
2025-03-24,2025-03-26,1052,5GUYS 0014 QSR,Dining,9.23,
2025-03-24,2025-03-25,1052,EZPASS REPLENISHMENT CSC,Gas/Automotive,20.12,
2025-03-25,2025-03-25,1052,DD *WUSHILANDBOBA,Dining,51.82,
2025-03-23,2025-03-25,1052,MARUFUJI MARKET,Merchandise,90.92,
2025-03-24,2025-03-25,1052,PARKMOBILE,Gas/Automotive,2.75,
2025-03-22,2025-03-24,1052,McDonalds 12238,Dining,2.33,
2025-03-22,2025-03-24,1052,McDonalds 12238,Dining,1.90,
2025-03-23,2025-03-24,1052,YIFANG TAIWAN FRUIT TE,Dining,13.68,
2025-03-22,2025-03-24,1052,SHEETZ 2225,Gas/Automotive,41.51,
2025-03-21,2025-03-22,1052,SAMS CLUB #4750,Merchandise,20.29,
2025-03-21,2025-03-22,1052,SAMS CLUB #4750,Merchandise,4.27,
2025-03-21,2025-03-22,1052,STUDENTREASURES PUBLISHI,Merchandise,29.95,
2025-03-21,2025-03-21,1052,SQ *PARKING.COM,Gas/Automotive,2.60,
2025-03-20,2025-03-21,1052,"Groupon, Inc.",Other Services,104.74,
2025-03-19,2025-03-20,7321,COT*HTL,Other Travel,11.27,
2025-03-20,2025-03-20,1052,INTER-STATE STUDIO,Other Services,20.00,
2025-03-19,2025-03-20,1052,COT*HTL,Other Travel,,328.80
2025-03-19,2025-03-20,1052,COT*HTL,Other Travel,328.80,

